,artist,genre,song_name,release_year,id_song
203,Sangeeta Mali,pop,Ghodi Thumak Thumak Pag Dharje,2020,25BdinscJIfcBN9kdaYirn
204,Humera Channa,pop,Kaisa Pyar Kiya,2020,0sLbpnET4hLn1js6MRQXfe
205,Waldo Cesar,pop,A Verdade Sempre Aparece,2020,38j534Bulmu4lwRADvMzF1
206,Zubeen Garg,pop,Tumi Jun Niki - Original,2020,12GJ8mPRxIBFmZcXnxoRYV
207,Sergio Dalma,pop,"¡Ay, Paquita! (From the Series ""Paquita Salas"")",2020,7BXGRIw35La85kJOdexS0Z
208,Adam A Zango,pop,U Look So Fyn,2020,6evv0umgppKRfFe5Sxd3IC
209,Andrew Rayel,pop,Find Your Harmony (FYH199) - Intro,2020,4l23M6S4ftRGnmweoJO1U8
210,Indra Dhavsi,pop,Hari Mirch Ro Jumkado,2020,0eJN1OWyzuSf56SGWmEJuG
211,Olivia Lewis,pop,"Hoofdstuk 142 - King 4 - Deel 4, Deel 4",2020,6UsXnRBNQQuVwaULvOUpcg
212,Jarod,pop,Mc Leod,2020,7wGYBWZFx2Qbw6j6qypBZ6
213,Rohana Weerasinghe,pop,Dase Kandulu Sinduna,2020,7eCZ7VVLaV9hfBRyXgdP6h
214,Tritonal,pop,Someone To Love You - DubVision Remix,2020,6eGYwbXlvvvXAZzIc9J0UX
215,Molly Rainford,pop,Happy Christmas (War Is Over),2020,1CV1bUsMxpuN21XJgsawW4
216,Mangal Singh,pop,Samali Medi Me,2020,1IKP7MGDY3ZYcXnkwqE2tZ
217,T-Connection,pop,Ecstasy,2020,1pyJOdJV5lrlhQaMjb0XE6
218,Andrew Gold,pop,"Spooky, Scary Skeletons - Undead Tombstone Remix",2020,2KC0KPrMniD046KkgmDt8l
219,Koolade,pop,The Swap,2020,2PCggScJZUibQ5kzeBd4zd
220,Connie Smith,pop,Love's Not Everything,2020,2xoqZPaGe6TV5OkAgnmitZ
221,Bappa Mazumder,pop,Banglar Hindu Banglar Buddha,2020,0MPeHLcwD95QnKSA5b1Im6
222,Turkmen Mukamlary,pop,Gorawer,2020,2NU5x7RgNoLgNlA3tUcdft
223,Timid Soul,pop,Loading Screen,2020,02zeKwPmiY6B4OybvHlsfq
224,Manezinho Do Sax,pop,Amor do Nosso Amor,2020,2lO7B7N9VOQD84GQeuo4tm
225,Judie Tzuke,pop,I'm Not a Loser - Demo,2020,4HTemswUjJ7ebiiAe08uNs
226,Ağadadaş Ağayev,pop,Gözəl Görəndə,2020,6iDCrwPbWQsJQ75zZeteuw
227,Henrique & Diego,pop,Bom Motivo - Ao Vivo,2020,7E1p83r6TADXIBODPqOp2D
228,Efecto Pasillo,pop,Para toda mi gente,2020,6GxUcZUdkPNniJGVCZsFhU
229,Junsun,pop,Aurora,2020,0oIwTt5Cnp1FmgpqAWMHvS
230,Akshara Singh,pop,Aaja Shivcharcha Me,2020,6rxPkbD3tjDiC2E5X7LpDz
231,Buddy Cole,pop,Jersey Bounce - Remastered,2020,4nGSqAXKtEY43pI1En4Bzb
232,Jimmy Dean,pop,Deep Blue Sea - Remastered,2020,1t1x7Uth4gULQd4YxUJgl7
233,Finn Liu,pop,云愁雨恨 - 笛子版,2020,5OgfLHmVUQPPYe2IF03Eq9
234,Nick Frater,pop,SoHo Alone,2020,7eBkRDDPmcz37u2U7xIGMR
235,Lino Cannavacciuolo,pop,Memory of A Dance,2020,1pxVFBdGGOLHckxxqHDbJ7
236,Ana Ritta,pop,Ouvir e Perdoar,2020,3ynR4eEvMgVpFgSSupDotU
237,Tayyib Ali,pop,The Bottom,2020,01Dmz6xdSYhw7TQBQK2vDm
238,Jignesh Barot,pop,Nejadi - Original,2020,2PBvxEWRFg3PRFEwpoRMy0
239,Tóc Tiên,pop,Big Girls Don't Cry,2020,2xnpN9Gt7RCCVxnrb4OsoZ
240,Gabi Novak,pop,Sutra U Sedam,2020,1IKZTmZ434jkn3uRjvNZ68
241,TBwoy,pop,Blessed Baby,2020,7GBbS2hQeyUJeYPLrCmpTs
242,Phan Đinh Tùng,pop,Em Là Lý Do Anh Tồn Tại - EDM Version,2020,2KCSOg4V7PRmrHIYa0m6Fh
243,Suresh Wadkar,pop,Locket,2020,3HXhiR9Sb8FjKdKF8yZpaL
244,Geirr Lystrup,pop,Lille Fyn,2020,2bCUnTpRSL1RIvNbvUmEDg
245,Kumar Bapi,pop,Jiba Thiba Jaen,2020,663fd8RAiNh4lgjwJlN7zo
246,Rupam Bhuyan,pop,Spriha,2020,3Lpl2rWFC21re1Egpuo6H1
247,Mahmoud ElMohandes,pop,Haystghrbok,2020,664lekNgTB6ROnMxQGqsjf
248,Ria Valk,pop,"Oke, Ik Ga Met Je Mee",2020,2IUcL629mfWD2i0tvWTOAg
249,Forget the G,pop,Swim,2020,2lOdOyFAFf2C8ZBvhTpFZF
250,Hermez,pop,New Feels - Remix,2020,4rWFP4rJQh9Y8gEAthZsVA
251,Opium Ink,pop,Prove You Wrong,2020,7kbmWX8RvFNbJ6SNgGR9Oo
252,Rohana Weerasinghe,pop,Obe Sitha Sasalawa,2020,0hVf7nFrBm1lXvoM831bgn
253,Armin van Buuren,pop,"A State Of Trance (ASOT 965) - Track Recap, Pt. 6",2020,4rr9UiApL8m7DYZCLxD2q4
254,Becky Hill,pop,Losing - Joe Goddard Remix,2020,4nFuqXDK9UFHxa2Mi8Wvb8
255,Saïd Senhaji,pop,Senhaji,2020,1z0sol8vtGYn0DHRFv8XoU
256,Fruto Sensual,pop,Cineral O Supremo Som Do Amor.,2020,6dsx2c2ieJqyHhSt9yLAyV
257,程佳佳,pop,温柔的风 - 伴奏版,2020,4nGF0M2CRKUxfivZ1wQU6S
258,Chandan Chanchal,pop,Kamar Ke Niche Dukhata,2020,3NaIaVxxoK8ksg0hgvHtAj
259,Bojalar,pop,Labzing Yo'q,2020,7naUVveUW2KtrQKWCwUofd
260,Amrita Dixit,pop,Meri Maiya Sherawali,2020,2IWdo2kteRRxeLslskes7G
261,Claude François,pop,Dis-lui,2020,7uLbGu7wup8f4IJvzfjuNa
262,Bobby Rydell,pop,Please Don't Be Mad 2 - Remastered,2020,3EHsTbaVq7eFxzwWqfzdGT
263,Botir Qodirov,pop,Vatan,2020,1xL1XKn7M9WH5C7TQEkQiW
264,Alma Cogan,pop,The Story of My Life,2020,7E52rOCzVW6oEfZo7PmOa5
265,Brian Lanzelotta,pop,Loco Contigo,2020,4l2aKsg2U5Vyh49PTtVPII
266,Thecatherines,pop,I'll Drift Into the Night,2020,5tItmEuglkGCSnDsfdMSq9
267,Jignesh Barot,pop,Kanchan Si Kaya Ne Kede Pataldi,2020,7wHuTJVdUsTBOMLnX9LGUg
268,Fred Fredburguer,pop,Esta Ciudad,2020,1opM1VrvAkaeHmOQf92Udt
269,Nunes Filho,pop,Arrocha Manaus,2020,7wI6AAIVKjtNfPNfX7QeJi
270,Sophie B. Hawkins,pop,Nocturne,2020,1lP0eHpdkp2q1QB3GBjc1O
271,Donna Lewis,pop,I Love You Always Forever,2020,3ynMnH5IDlv45U1RUZEn9l
272,Veer Sukhwant,pop,Four Twenty,2020,5q27uvIVxjcuI4K5DFxkvm
273,Ravi Raj,pop,Gayatri Mantra,2020,7HTxLiRUSYOL0oPtG3iF9w
274,Inder Jeet,pop,Chhunki,2020,7jJkjpgrLJomaS7eLzqWcn
